nitrogen,phosphorus,potassium,temperature,humidity,ph,rainfall,crop,nitrogen_scaled,phosphorus_scaled,potassium_scaled,temperature_scaled,humidity_scaled,ph_scaled,rainfall_scaled,npk_total,nitrogen_ratio,phosphorus_ratio,potassium_ratio,soil_condition,crop_code
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,1.0687973987858208,-0.34455074861946233,-0.10168750234285244,-0.9355869259076098,0.47266645756791276,0.043301734342661935,1.8103605001948384,175,0.5142857142857142,0.24,0.24571428571428572,neutral,20
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,0.9333288740624319,0.14061551873812936,-0.1411847666709378,-0.7596460261263331,0.3970512469186057,0.7348725609169426,2.242057909538095,184,0.46195652173913043,0.31521739130434784,0.22282608695652173,neutral,20
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,0.25598625044548734,0.049646843608580925,-0.08193887017880977,-0.5158981414813986,0.48695381219886713,1.7715104653431997,2.921066034515692,159,0.37735849056603776,0.34591194968553457,0.27672955974842767,alkaline,20
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,0.6352981196709763,-0.5568109905884087,-0.16093339883498045,0.1728070378828599,0.38980549267194176,0.6603076780225089,2.5370480328062364,149,0.4966442953020134,0.2348993288590604,0.2684563758389262,neutral,20
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,0.7436729394496874,-0.34455074861946233,-0.12143613450689511,-1.08364706156879,0.4547916289680062,1.497867775359342,2.8983726728997685,162,0.48148148148148145,0.25925925925925924,0.25925925925925924,alkaline,20
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,0.4998295949475874,-0.4961652071687097,-0.12143613450689511,-0.505312751519144,0.5340972847724778,0.7805676872837718,2.6861213233058905,148,0.46621621621621623,0.25,0.28378378378378377,neutral,20
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,0.4998295949475874,0.049646843608580925,-0.20043066316306582,-0.5742913207054149,0.5012695767796143,-0.9934251238189604,3.055027135535316,162,0.42592592592592593,0.3395061728395062,0.2345679012345679,acidic,20
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,1.177172218564532,-0.010998939811118037,-0.16093339883498045,-1.0544982310358721,0.512711020611868,-0.9703928435753775,2.5208532056094395,187,0.5026737967914439,0.28342245989304815,0.21390374331550802,acidic,20
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,1.041703693841143,0.019323951898731442,-0.20043066316306582,-0.21735150114280835,0.5415145284252698,0.2789829715630806,2.311047565493567,181,0.49171270718232046,0.2983425414364641,0.20994475138121546,neutral,20
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,0.4727358900029096,0.14061551873812936,-0.20043066316306582,-0.47253804719810333,0.5189620775395833,-0.1721803077983522,2.142936010711277,164,0.4146341463414634,0.35365853658536583,0.23170731707317074,acidic,20
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,1.0958911037304986,-0.010998939811118037,-0.16093339883498045,0.17994542468201027,0.4463754150700911,-1.4000591847601103,2.9329071753597935,184,0.4945652173913043,0.28804347826086957,0.21739130434782608,acidic,20
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,1.0687973987858208,-0.2232591817800644,-0.12143613450689511,-0.3234034789212394,0.44786145981332975,1.3354935984918115,2.6684354493681046,178,0.5056179775280899,0.25842696629213485,0.23595505617977527,alkaline,20
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,0.7436729394496874,0.14061551873812936,-0.08193887017880977,0.23398110570686714,0.42253354547776106,-1.758678609554578,3.2936545330358116,180,0.43333333333333335,0.32222222222222224,0.24444444444444444,acidic,20
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,1.1500785136198541,0.07996973531843041,-0.23992792749115116,-0.31629368021281684,0.47509820182257806,0.6654161689526336,1.4889862319641058,185,0.5027027027027027,0.3027027027027027,0.1945945945945946,neutral,20
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,1.177172218564532,-0.10196761494066647,-0.22017929532710848,0.009798961318188814,0.41251511410106834,0.618458783278166,1.9314147556742225,181,0.5193370165745856,0.27624309392265195,0.20441988950276244,neutral,20
60,48,39,24.28209415,80.30025587,7.042299068999999,231.0863347,rice,0.25598625044548734,-0.16261339836036545,-0.18068203099902314,-0.2635306620553619,0.3961802092781758,0.7403040879657877,2.322697185211281,147,0.40816326530612246,0.32653061224489793,0.2653061224489796,neutral,20
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice,0.9333288740624319,-0.46584231545886023,-0.1411847666709378,-0.7958614107694351,0.5079616350903209,-0.28488020075081605,3.1520386656675674,164,0.5182926829268293,0.23170731707317074,0.25,acidic,20
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,1.0958911037304986,-0.5568109905884087,-0.18068203099902314,-0.35995834936391546,0.4014780671721616,0.6479768142714176,1.8708863903534874,165,0.5515151515151515,0.21212121212121213,0.23636363636363636,neutral,20
77,38,36,21.8652524,80.1923008,5.953933276,224.55501690000003,rice,0.7165792345050096,-0.46584231545886023,-0.23992792749115116,-0.7409222963007539,0.3913302035558717,-0.6662861970880678,2.2038290220065724,151,0.5099337748344371,0.25165562913907286,0.23841059602649006,acidic,20
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,rice,1.0146099888964653,-0.5568109905884087,-0.16093339883498045,-0.4023246060206703,0.5438680683819721,-0.7955264871560289,3.4185447528580655,163,0.5398773006134969,0.2147239263803681,0.24539877300613497,acidic,20
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,1.041703693841143,-0.2535820734899139,-0.23992792749115116,-0.8476285488705975,0.4040201859933811,-0.0349005226090287,1.492992614856599,170,0.5235294117647059,0.2647058823529412,0.21176470588235294,acidic,20
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,0.6894855295603318,-0.4051965320391613,-0.10168750234285244,-0.09062314970899395,0.522731734237006,-1.808443434256789,2.328120367262046,159,0.4779874213836478,0.25157232704402516,0.27044025157232704,acidic,20
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,0.44564218505823183,0.17093841044797883,-0.1411847666709378,-0.7246431139063119,0.4264418388844951,-0.590423939426763,2.000011712604836,167,0.40119760479041916,0.3532934131736527,0.24550898203592814,acidic,20
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,0.8791414641730764,-0.3748736403293118,-0.10168750234285244,-0.9014558724316065,0.5030208533853583,-0.2784469609953758,2.3594833153221466,167,0.49700598802395207,0.24550898203592814,0.25748502994011974,acidic,20
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,1.285547038343243,-0.19293629007021493,-0.22017929532710848,-0.4212127000843193,0.4425617361363141,1.1709066242756576,2.1947855714290325,182,0.5384615384615384,0.25824175824175827,0.2032967032967033,neutral,20
